source,destination,weight,year
Lepidoptera,Grote,32,1872
Lepidoptera,Grote,6,1873
Lepidoptera,Grote & Robinson,5,1865
Lepidoptera,Grote & Robinson,9,1866
Lepidoptera,Grote & Robinson,17,1867
Lepidoptera,Grote & Robinson,17,1868
Lepidoptera,Grote & Robinson,8,1870
Lepidoptera,Gunder,2,1927
Lepidoptera,Gundlach,1,1866
Lepidoptera,Gundlach,1,1881
Lepidoptera,Haimbach,2,1907
Lepidoptera,Haimbach,5,1908
Lepidoptera,Haimbach,8,1915
Lepidoptera,Haimbach,5,1928
Lepidoptera,Haimbach,1,1930
Lepidoptera,Hayward,6,1941
Lepidoptera,Herrich-SchÃ¤ffer,1,1857
Lepidoptera,Herrich-SchÃ¤ffer,8,1862
Lepidoptera,Herrich-SchÃ¤ffer,5,1863
Lepidoptera,Herrich-SchÃ¤ffer,4,1864
Lepidoptera,Herrich-SchÃ¤ffer,9,1865
Lepidoptera,"Herrich-SchÃ¤ffer, G.A.W.",1,1862
Lepidoptera,Jones,1,1908
Lepidoptera,Jones,1,1926
Lepidoptera,Kearfott,1,1903
Lepidoptera,Klots,1,1929
Lepidoptera,Laurent,1,1892
Lepidoptera,Mengel,2,1916
Lepidoptera,Mengel,1,1919
Lepidoptera,Newcomb,1,1901
Lepidoptera,Packard,6,1864
Lepidoptera,Packard,1,1876
Lepidoptera,Pavulaan & Wright,1,2005
Lepidoptera,Poey,11,1832
Lepidoptera,Poey,1,1846
Lepidoptera,Poey,7,1851
Lepidoptera,Poey,1,1853
Lepidoptera,Ramsden,1,""
Lepidoptera,Ramsden,1,1914
Lepidoptera,Ramsden,1,1915
Lepidoptera,Ramsden,1,1921
Lepidoptera,Reakirt,3,1866
Lepidoptera,Richards,2,1943
Lepidoptera,Robinson,43,1869
Lepidoptera,Robinson,2,1870
Lepidoptera,"Say, Thomas",1,1828
Lepidoptera,Scudder,2,1872
Lepidoptera,Skinner,3,1889
Lepidoptera,Skinner,2,1890
Lepidoptera,Skinner,1,1891
Lepidoptera,Skinner,4,1892
Lepidoptera,Skinner,2,1893
